118;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{14};Electrical test data matrix format 8;;DOTMATRIX;"""""";"""""";MDEP
119;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{13};Electrical test data matrix format 9;;DOTMATRIX;"""""";"""""";MDEP
120;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{16};Electrical test data matrix format 10;;DOTMATRIX;"""""";"""""";MDEP
121;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{18};Electrical test data matrix format 11;;DOTMATRIX;"""""";"""""";MDEP
122;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{12};Electrical test data matrix format 12;;DOTMATRIX;"""""";"""""";MDEP
123;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{17};Electrical test data matrix format 13;;DOTMATRIX;"""""";"""""";MDEP
124;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{15};Electrical test data matrix format 14;;DOTMATRIX;"""""";"""""";MDEP
125;^[P]{1}\d{8}[P]{1}\d{19};Electrical test data matrix format 15;;DOTMATRIX;"""""";"""""";MDEP
126;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{19};Electrical test data matrix format 16;;DOTMATRIX;"""""";"""""";MDEP
127;^[P]{1}\d{8}[C]{1}\d{19};Electrical test data matrix format 17;;DOTMATRIX;"""""";"""""";MDEP
128;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[B]{1}\d{17};Electrical test data matrix format 18;;DOTMATRIX;"""""";"""""";MDEP
129;^[P]{1}\d{8}[C]{1}\d{4}[C]{1}\d{5}[A]{1}\d{17};Electrical test data matrix format 19;;DOTMATRIX;"""""";"""""";MDEP
130;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{6}[A]{1}\d{17};Electrical test data matrix format 20;;DOTMATRIX;"""""";"""""";MDEP
131;"^\d{4}[C]{1}\d{3}[D]{1}[;]{1}\d{2}[.]{1}\d{2}[.]{1}\d{4}[;]{1}\d{2}[:]{1}\d{2}[:]{1}\d{2}";Electrical test data matrix format 21;;DOTMATRIX;"""""";"""""";MDEP
132;^[P]{1}\d{22};Electrical test data matrix format 1;;DOTMATRIX;"""""";"""""";HDEP
133;"^[P]{1}\d{10}[.]\d{2}[.]\d{4}[;]\d{2}[:]\d{2}[:]\d{2}";Electrical test data matrix format 2;;DOTMATRIX;"""""";"""""";HDEP
134;"^[P]{1}\d{8}[;]\d{2}[.]\d{2}[.]\d{6}[:]\d{2}[:]\d{2}";Electrical test data matrix format 3;;DOTMATRIX;"""""";"""""";HDEP
135;"^[P]{1}\d{8}[;]\d{2}[.]\d{2}[.]\d{4}[;]\d{2}[:]\d{2}[:]\d{2}";Electrical test data matrix format 4;;DOTMATRIX;"""""";"""""";HDEP
136;^[P]{1}\d{10}[.]\d{2}[.]\d{6}[:]\d{2}[:]\d{2};Electrical test data matrix format 5;;DOTMATRIX;"""""";"""""";HDEP
